word_id|doc_id
201|23
202|2
203|23
204|1,11,21
205|1,19,37
206|1
207|1,2,10,11,21
208|12
209|18,31,34,41
210|18
211|18
212|12
213|18,34
214|2,8
215|40
216|23
217|4
218|44
219|4,7,14
220|17
221|12
222|0,1,11,15,19,20,27,35
223|34
224|34
225|1,3,21
226|21
227|0
228|40
229|40
230|23
231|18
232|15
233|3
234|36
235|31
236|18
237|3,15,30
238|1
239|2
240|7
241|11,21,34
242|19
243|0
244|3,19
245|0,2,17,34
246|18
247|21,22
248|2,11,15,16,19,31,33,34
249|12
250|21
251|3
252|0
253|35
254|35
255|35
256|35
257|0
258|0
259|0
260|0,1,3,11,15,18,20,32,34,40,42
261|0
262|0
263|0
264|0
265|0,1,2,3,9,11,19,20,42,44
266|1,3,4,7,16,18,19,31,41
267|11,15,18,42
268|1
269|0
270|3
271|0
272|0,3,19,20,28
273|0
274|7
275|23
276|14
277|9
278|23
279|0,1,2,3,4,9,10,12,16,18,21,22,30,33,34,36,39,41,44
280|2,9,12,41
281|12
282|0,2,9,10,12,18,22,35,39
283|9,11,12
284|2,3,9,12,17,19,22,33,35,44
285|9
286|24
287|12
288|0
289|0
290|0
291|12,19
292|9
293|0
294|0
295|0,1,3,6,7,11,12,19,21,30,32,33,34,38,44
296|0,1,2,3,4,11,12,13,15,16,17,18,19,21,22,23,26,30,31,32,33,37,38,39,43,44
297|9
298|23
299|18
300|14
301|14
302|14
303|0
304|3
305|0
306|0
307|1,2,3,11,12,14,18,19,21,30,31,32,34,38,41,43
308|2,19
309|3,43
310|1,21
311|3,16,21
312|1,3
313|21
314|21
315|2,15,28
316|0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44
317|2,15,24,32,43
318|1
319|0,3,18,44
320|1,3,16,18,20,21,22,35,43,44
321|1
322|9
323|3,12,23,43
324|1,2,3,12,18,19,22
325|9
326|18,19,30,31,33,34,41,43,44
327|18
328|2,14,18,23,32,33,41
329|0
330|0
331|0
332|0
333|0,2,4,9,14,15,20,23,24,36,39,40,41,42
334|0
335|0,1,2,3,5,8,9,10,11,12,15,16,17,18,19,23,24,35,41,43,44
